!xValues(GHz)	yValues(K)
84.4260178170	0.000000e+00
84.4265111040	0.000000e+00
84.4270043900	0.000000e+00
84.4274976770	0.000000e+00
84.4279909630	0.000000e+00
84.4284842500	0.000000e+00
84.4289775360	0.000000e+00
84.4294708230	0.000000e+00
84.4299641090	0.000000e+00
84.4304573960	0.000000e+00
84.4309506820	0.000000e+00
84.4314439690	0.000000e+00
84.4319372550	0.000000e+00
84.4324305420	0.000000e+00
84.4329238280	0.000000e+00
84.4334171150	0.000000e+00
84.4339104010	0.000000e+00
84.4344036880	0.000000e+00
84.4348969740	0.000000e+00
84.4353902610	0.000000e+00
84.4358835470	0.000000e+00
84.4363768340	0.000000e+00
84.4368701200	0.000000e+00
84.4373634070	0.000000e+00
84.4378566930	0.000000e+00
84.4383499800	0.000000e+00
84.4388432660	0.000000e+00
84.4393365530	0.000000e+00
84.4398298390	0.000000e+00
84.4403231260	0.000000e+00
84.4408164120	0.000000e+00
84.4413096990	0.000000e+00
84.4418029850	0.000000e+00
84.4422962720	0.000000e+00
84.4427895580	0.000000e+00
84.4432828450	0.000000e+00
84.4437761310	0.000000e+00
84.4442694180	0.000000e+00
84.4447627040	0.000000e+00
84.4452559910	0.000000e+00
84.4457492770	0.000000e+00
84.4462425640	0.000000e+00
84.4467358500	0.000000e+00
84.4472291370	0.000000e+00
84.4477224230	0.000000e+00
84.4482157100	0.000000e+00
84.4487089960	0.000000e+00
84.4492022830	0.000000e+00
84.4496955690	0.000000e+00
84.4501888560	0.000000e+00
84.4506821420	0.000000e+00
84.4511754290	0.000000e+00
84.4516687150	0.000000e+00
84.4521620020	0.000000e+00
84.4526552880	0.000000e+00
84.4531485750	0.000000e+00
84.4536418610	0.000000e+00
84.4541351480	0.000000e+00
84.4546284340	0.000000e+00
84.4551217210	0.000000e+00
84.4556150070	0.000000e+00
84.4561082940	0.000000e+00
84.4566015800	0.000000e+00
84.4570948670	0.000000e+00
84.4575881530	0.000000e+00
84.4580814400	0.000000e+00
84.4585747260	0.000000e+00
84.4590680130	0.000000e+00
84.4595612990	0.000000e+00
84.4600545860	0.000000e+00
84.4605478720	0.000000e+00
84.4610411590	0.000000e+00
84.4615344450	0.000000e+00
84.4620277320	0.000000e+00
84.4625210180	0.000000e+00
84.4630143050	0.000000e+00
84.4635075910	0.000000e+00
84.4640008780	0.000000e+00
84.4644941640	0.000000e+00
84.4649874510	0.000000e+00
84.4654807370	0.000000e+00
84.4659740240	0.000000e+00
84.4664673100	0.000000e+00
84.4669605970	0.000000e+00
84.4674538830	0.000000e+00
84.4679471700	0.000000e+00
84.4684404560	0.000000e+00
84.4689337430	0.000000e+00
84.4694270290	0.000000e+00
84.4699203160	0.000000e+00
84.4704136020	0.000000e+00
84.4709068890	0.000000e+00
84.4714001750	0.000000e+00
84.4718934620	0.000000e+00
84.4723867480	0.000000e+00
84.4728800350	0.000000e+00
84.4733733210	0.000000e+00
84.4738666080	0.000000e+00
84.4743598940	0.000000e+00
84.4748531810	0.000000e+00
84.4753464670	0.000000e+00
84.4758397540	0.000000e+00
84.4763330400	0.000000e+00
84.4768263270	0.000000e+00
84.4773196130	0.000000e+00
84.4778129000	0.000000e+00
84.4783061860	0.000000e+00
84.4787994730	0.000000e+00
84.4792927590	0.000000e+00
84.4797860460	0.000000e+00
84.4802793320	0.000000e+00
84.4807726190	0.000000e+00
84.4812659050	0.000000e+00
84.4817591920	0.000000e+00
84.4822524780	0.000000e+00
84.4827457650	0.000000e+00
84.4832390520	0.000000e+00
84.4837323380	0.000000e+00
84.4842256250	0.000000e+00
84.4847189110	0.000000e+00
84.4852121980	0.000000e+00
84.4857054840	0.000000e+00
84.4861987710	0.000000e+00
84.4866920570	0.000000e+00
84.4871853440	0.000000e+00
84.4876786300	0.000000e+00
84.4881719170	0.000000e+00
84.4886652030	0.000000e+00
84.4891584900	0.000000e+00
84.4896517760	0.000000e+00
84.4901450630	0.000000e+00
84.4906383490	0.000000e+00
84.4911316360	0.000000e+00
84.4916249220	0.000000e+00
84.4921182090	0.000000e+00
84.4926114950	0.000000e+00
84.4931047820	0.000000e+00
84.4935980680	0.000000e+00
84.4940913550	0.000000e+00
84.4945846410	0.000000e+00
84.4950779280	0.000000e+00
84.4955712140	0.000000e+00
84.4960645010	0.000000e+00
84.4965577870	0.000000e+00
84.4970510740	0.000000e+00
84.4975443600	0.000000e+00
84.4980376470	0.000000e+00
84.4985309330	0.000000e+00
84.4990242200	0.000000e+00
84.4995175060	0.000000e+00
84.5000107930	0.000000e+00
84.5005040790	0.000000e+00
84.5009973660	0.000000e+00
84.5014906520	0.000000e+00
84.5019839390	0.000000e+00
84.5024772250	0.000000e+00
84.5029705120	0.000000e+00
84.5034637980	0.000000e+00
84.5039570850	0.000000e+00
84.5044503710	0.000000e+00
84.5049436580	0.000000e+00
84.5054369440	0.000000e+00
84.5059302310	0.000000e+00
84.5064235170	0.000000e+00
84.5069168040	0.000000e+00
84.5074100900	0.000000e+00
84.5079033770	0.000000e+00
84.5083966630	0.000000e+00
84.5088899500	0.000000e+00
84.5093832360	0.000000e+00
84.5098765230	0.000000e+00
84.5103698090	0.000000e+00
84.5108630960	0.000000e+00
84.5113563820	0.000000e+00
84.5118496690	0.000000e+00
84.5123429550	0.000000e+00
84.5128362420	0.000000e+00
84.5133295280	0.000000e+00
84.5138228150	0.000000e+00
84.5143161010	0.000000e+00
84.5148093880	0.000000e+00
84.5153026740	0.000000e+00
84.5157959610	0.000000e+00
84.5162892470	0.000000e+00
84.5167825340	0.000000e+00
84.5172758200	0.000000e+00
84.5177691070	0.000000e+00
84.5182623930	0.000000e+00
84.5187556800	0.000000e+00
84.5192489660	0.000000e+00
84.5197422530	0.000000e+00
84.5202355390	0.000000e+00
84.5207288260	0.000000e+00
84.5212221120	0.000000e+00
84.5217153990	0.000000e+00
84.5222086850	0.000000e+00
84.5227019720	0.000000e+00
84.5231952580	0.000000e+00
84.5236885450	0.000000e+00
84.5241818310	0.000000e+00
84.5246751180	0.000000e+00
84.5251684040	0.000000e+00
84.5256616910	0.000000e+00
84.5261549770	0.000000e+00
84.5266482640	0.000000e+00
84.5271415500	0.000000e+00
84.5276348370	0.000000e+00
84.5281281230	0.000000e+00
84.5286214100	0.000000e+00
84.5291146960	0.000000e+00
84.5296079830	0.000000e+00
84.5301012690	0.000000e+00
84.5305945560	0.000000e+00
84.5310878420	0.000000e+00
84.5315811290	0.000000e+00
84.5320744150	0.000000e+00
84.5325677020	0.000000e+00
84.5330609880	0.000000e+00
84.5335542750	0.000000e+00
84.5340475610	0.000000e+00
84.5345408480	0.000000e+00
84.5350341340	0.000000e+00
84.5355274210	0.000000e+00
84.5360207070	0.000000e+00
84.5365139940	0.000000e+00
84.5370072800	0.000000e+00
